2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:14,509 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52250)-4421587296
2025-04-13 20:19:14,510 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52250)-4421587296
2025-04-13 20:19:14,532 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52252)-4421588688
2025-04-13 20:19:14,532 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52252)-4421588688
2025-04-13 20:19:14,545 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52254)-4421590128
2025-04-13 20:19:14,545 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52254)-4421590128
2025-04-13 20:19:14,677 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52256)-4421591568
2025-04-13 20:19:14,678 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52256)-4421591568
2025-04-13 20:19:14,689 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52258)-4421593008
2025-04-13 20:19:14,689 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52258)-4421593008
2025-04-13 20:19:14,759 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52260)-4421594448
2025-04-13 20:19:14,760 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52260)-4421594448
2025-04-13 20:19:14,773 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52262)-4421595888
